,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
0,"not only this song, this is the color of mode's heart, he was seen in the whole world one day, only turkmenistan. he he .. great mode",0.8519,positive
1,love u sir love u so much us i'to beautiful vein ..,0.9231,positive
2,hey sur i first defeat the children of our india.,-0.4588,negative
3,that! the sound of the song is as beautiful and the melodious voice.,0.636,positive
4,greetings went to the beautiful little girls.,0.7717,positive
5,theyati mangekar,0,neutral
6,"purity of soul and mind is reflected in this daughter's voice, happy daughter.",0.5719,positive
7,jai hind jai hindmeri bhatan tujhe salmodi zee salute yau,0,neutral
8,i wish modify would have come first from manmohan sigh ... today 2015 our country would have reached,0.4939,positive
9,"atrocities on students in india is not a result, and here it is dust in their eyes.",0,neutral
10,:too,0,neutral
11,"not only this song, this is the color of mode's heart, he will one day show it all over the world, it is only turkmenistan. he he .. great mode i .. great",0.9246,positive
12,modify is the issue of the world .. has done enough and has to do even further ..,0,neutral
13,"bah guruji, what style is your world left behind.",0,neutral
14,some..it says to leave the impression of india all over the world ..,0.1779,positive
15,hello mah modi zi !!,0,neutral
16,"mode i, you have to pay my last respects, you have won the glory of your india in the whole universe ..",0.8442,positive
17,"good mode, you will take me with you",0.4404,positive
18,फन्तबुलोउस्॥ proud of you modi ji. the picture of our country is also looking better. india needs its own resources. there are also some land issues that need to be addressed. i hope that they will improve soon.,0.8957,positive
19,that country has now gone into the right hands: it looks the same on seeing you,0,neutral
20,it's not hind because of its rude and bollywood if you succeed because of rude,-0.4215,negative
21,"narendra mode, what are you doing on facebook, work please!",0.3802,positive
22,i wish this was so good bangladesh and parisian b gate,0.7537,positive
23,was was turkey,0,neutral
24,masha allah good .. this is my hind,0.4404,positive
25,"that&#39;s fun !! indian govt. should host un international hindi song c competition !! the reason is that there is a lot of entertainment, &#39;kyo bhayio aur behno&#39; ??",0.8238,positive
26,i get angry on those hindu who oppose mode i in their senselessness ..,-0.5106,negative
27,no one can stop india from becoming world our .. and mataram,-0.5267,negative
28,"sir, only you can do this. great sir",0.7073,positive
29,modi jigood preminister hia,0,neutral
30,jai sree ram nam namo,0,neutral
31,people's faith should not be reduced jaw hind,0.4215,positive
32,"mode i go ahead, the whole country is with you.",0,neutral
33,it was heard about ran poor's films that he is liked in sports. he seems to be still intact.,0.5574,positive
34,they are proud of us; now it seemed that our country has started on a good path from where we can bury our flag in the whole world.,0.7184,positive
35,"mode i, your thinking seems very right, the reason for not being progress is the reason for this that the development of the country is most important.",-0.0616,negative
36,"no 1 will be engaged in making a mistake, because modi ji like pamde bade bhagya se bhagya, which will not hurt anyone in changing the speed of bharat, jay hindu,",0.5229,positive
37,"children's hearts should be taken on the path of truth, this song should be made mandatory in schools as vandalia.",0.7845,positive
38,kartikeya kumari modi can change the country,0,neutral
39,havana old man is taking care of children,0.4939,positive
40,this has not happened nor will it ever happen. .,0,neutral
41,no hindu no muslin we are all hindustani,-0.0803,negative
42,"mode is my job to kill you, i am a khalistani",-0.6908,negative
43,"modify, my request is not to give your whatsapp so that i can see you live.",0,neutral
44,"modiji is proud of his country, his country, his country, his country, his country, his country, his country, his country, his country, his country",0.4767,positive
45,we have won bear and won the election of loop. now we have won from seven seven and we have to win with 65 seven.,0.9423,positive
46,if you are like this then mode i hind jaw rat,0.3612,positive
47,bead bias to be less loud ..,-0.1027,negative
